Domain;Vertical;AF_Lev_1;AF_Lev_2;Function_Name;Function_ID;Description;UID
Market & Sales Domain;Operations Readiness & Support;Sales and Sales Force Management;Sales Territory Management;Sales Territory Assignment;1282;"Sales Territory Assignment Function enables to assign the sales teams to sales territories.
Note: The sales territories assignment to sales teams are used for the lead / opportunity assignation and the sales forecasts.";2073
Market & Sales Domain;Strategy Management;Market Strategy Management;Market Sales and Channel Development;Points of Sales Management;386;"Points of Sales Management; The Points of Sales Management function manages points of sales data (points of sales organization, outdoor marketing campaigns, cash registers). The following functions are out of scope: stock management, replenishment management.";2075
Market & Sales Domain;Business Value Development;Advertising Management;Advertisement Management;Advertisement Monitoring;1318;Advertisement Monitoring function monitors ad performance, whether in real-time or post-facto.;2105
Market & Sales Domain;Business Value Development;Advertising Management;Advertisement Management;Advertisement Information Management;1319;Advertisement Information Management function collects, maintains, and provides information on advertisements, their placement, and their results.;2106
Market & Sales Domain;Business Value Development;Advertising Management;Advertisement Management;Advertisement Performance Analysis;1320;Advertisement Performance Analysis function supports reviewing ad monitoring information and performance metrics, measuring the ROI and effectiveness of ad placements and of the ads themselves, and where appropriate, recommending adjustments.;2107
Market & Sales Domain;Operations Readiness & Support;Sales Commissioning Management;Sales Account Management;Sales Account Assigning;390;Sales Account Assigning provides the necessary functionality to assign customers to a service providers sellers (either third party or internal). Ownership might further be differentiated based on various products with the same customer. Sales Account Assignment also maintains the sales hierarchy (different than HR reporting hierarchy) for sales compensation, sales forecasting, and sales results.;2111
Market & Sales Domain;Business Value Development;Marketing Campaign Development;Marketing Campaign Workflow Design;Campaign Workflow Approving;349;Campaign Workflow Approving provides a campaign execution workflow that ensure that approvals are in place as needed.;2567
Market & Sales Domain;Operations Readiness & Support;Marketing Campaign Management;Marketing Campaign Execution;Campaign to Customer Profile Alignment;350;Campaign to Customer Profile Alignment function ensures that customers are always treated according to their preferences, no matter which interaction point you use.;2570
Market & Sales Domain;Operations Readiness & Support;Marketing Campaign Management;Marketing Campaign Performance Tracking and Analysis;Campaign In Execution Updating;353;Campaign In Execution Updating provides a campaign update function, based on statistics gathered via Campaign Performance Tracking, adjustments can be made to the Campaign while still in execution.;2573
Market & Sales Domain;Strategy Management;Marketing Strategic Analysis;Market and Channel Analysis;Market and Channel Data Analysis;1091;"Market and Channel Data Analysis concerns analysis of the market and channel with a market and customer view and take into account both external and internal elements knowledge in order to provide the market potentials evaluation and anticipate the competition strategy (analysis of the market shares and competition and evolution assumptions).

External elements knowledge:

	on market, knowledge of the market shares by region with general trends, potentials in volume, in CA
	on customer and consumer, expectations and motivations, new modes of consumption, calculation of the customer average revenues according to the offer range and flow (acquisition, churn, migration).
	on distribution, general trends, new distribution channel
	on competition, anticipate the competition strategy (analysis of the market shares and competition and evolution assumptions, positioning, target, social network verbatim analysis),
	on environment: political, economical (cartography of the geo-merchandising zones), technological, ecological, legal


Internal elements knowledge:

	on Company Performances, turnover evolution, profitability, financial means
	on customer, enterprise image &amp; fame, qualification of the customers (loyalty, satisfaction, contact mode, frequency, income, purchasing power, equipment, verbatim on social networks), purchase behaviour
	market shares by region, penetration rates of the offers by region, number of eligible lines by region

It also take into account assessment of the Strategy performance results in order to improve the Market Strategy.

It includes geomarketing functions which start from the sociological assumption according to which the habitat choice is a consumption reasoned act, largely conditioned by financial and social constraints, leading to specific tendencies of consumption. The geomarketing detects the potential values of new life zones (Mass Market: life zones, Business Market: new attractive industrial / commercial areas).";2576
Market & Sales Domain;Business Value Development;Advertising Management;Advertisement Management;Advertisement Placement;1315;Advertisement Placement function supports negotiating ad space costs and contracts with media outlets, creating schedules for ad placements to optimize exposure and maximizing ad visibility to reach the desired audience.;2578
Market & Sales Domain;Fulfillment;Sales Management;Sales Lead Management;Funnel Assigning;375;Funnel Assigning provides the necessary functionality to assign sales personnel to leads within a given funnel/pipeline.;2579
Market & Sales Domain;Fulfillment;Sales Management;Opportunity Management;Sales Product Support;395;Sales Product Support function gives access to appropriate product information on the various products being sold by the service provider. This can include information such as product descriptions, configuration constraints, eligibility rules, and possibly pricing information.;2593
Market & Sales Domain;Fulfillment;Sales Management;Opportunity Management;Product Customization Offering Management;379;Product Customization Offering Management provides the necessary functionality to manage the customer personalized proposals, taking into account the customer location, needs, current products, as well as the service provider's products, sales emphasis and targets, etc.;2597
