ID;UID;AF;Hierarchy;Description
1.1.1;1;Market Strategy Management;1;Marketing Strategy Management Aggregated Function groups functions useful to define the marketstrategy (existing and desired market-place, activities and aims, objectives to be achieved, market segmentation) and to develop market, channels.
1.1.1.1;2;Market Sales and Channel Development;2;"Market and Channel are developed to support new or enhanced products.
The Market and Channel Development function comprises predictions defining product sales forecasts and targets for each channel, as well as sales performance indicators for each channel and geomarketing analysis."
1.1.1.2;3;Market and Channel Strategy Definition;2;"A Market and Channel Strategy Definition is established, from a Market and Channel analysis, in respect with the strategic business direction.
It formalizes, in a Market Strategy Plan, the Market and Channel key stakes, strategic axes and multi years objectives for the company, as well as Market and Channel objectives, segmentation and targeting, positioning.
It includes: 
- forecasts of the Market and Channel sales. Forecasts are carried out from a chronological modeling of the tendencies, the forecasts of commercial actions or marketing.
- identification of market segment, customer profile and channels used across the enterprise
- definition of behaviors models and strategy:
     - development of purchase behavior models that will be used for the marketing strategy development, in order to improve the distribution performance. These models will be used for the statistical tool implementation (customer profile type) and the creation of statistical data (dashboards).
     - a broad Sales Strategy to support the market strategy with a Sales model management defining the various stages of the sales pipeline, which can be based on the SPANCO method (Suspect qualification, Prospect qualification, Analyzing, Negotiating, Closing, Ordering)."
1.1.1.3;4;Marketing Campaign Plan Definition;2;"The Marketing Campaign Plan Definition Aggregate Function deals with the marketing campaign plan definition to manage communications to the market, prospective and existing customers, to suggest options to them. 

	- it defines a whole of campaigns from marketing studies and plan, plans these campaigns
	- it optimizes the contacts according to campaign prioritization rules such as the potential creation of value of the proposed offer

It concerns mainly:

	- The identification of the campaigns that should be executed to reach the business objectives for a specific customer segment and their sequence (campaign name, description, campaign type, objectives, cost, sponsor, planning)
	- The contact rules definition with targeting criterion to make sure that commercial pressure on customer is managed (e.g. ""no more than 1 SMS per week for customer segment 1"")
"
1.1.1.4;5;Market Information Management;2;"The Market Information Management Aggregate Function allows to collect information from external or internal sources, to obtain a better knowledge of the market and competitors.
The information collected may concern, for example:
- market, market shares, general trends, potentials,
- customer and consumer expectations and motivations, new modes of consumption,
- distribution, general trends, new distribution channels
- competition, competitors, their market shares and strategy (positioning, target, etc.),
- environment: politic, economic (cartography of the geo-merchandising zones), technologic, ecological, legislative
- enterprise image & fame, etc."
1.1.2;6;Marketing Strategic Analysis;1;Marketing Strategic Analysis Aggregated Function groups functions useful to conduct delayed analysis, on the collected information concerning market, which may have an influence on the strategy.
1.1.2.1;7;Marketing Campaign Analysis;2;"Campaign Analysis consists in the assessment of the actions and the targeting returns in order to evaluate the generated added value (campaign effectiveness, ROI, effectiveness of the channels and teams, cost of the actions (time, budget), relevance or not of the actions carried out) and optimize the next marketing campaigns.
Evaluates the campaigns performance:
- At the end of the campaign. Proposition take rate will be considered, as well as campaigns impact on usage, top-up behavior (increase in amount/frequency) and churn rate
- In the long run. E.g., has the retention campaign had a durable impact on churn reduction, or has it triggered opportunistic customer behavior? Has the stimulate usage campaign caused cannibalization, or triggered a durable increase in consumption?"
1.1.2.2;8;Market and Channel Analysis;2;"Market and Channel Analysis Aggregate Function concerns analysis of the market and channel with a market and customer view.
Analyses rely on market &amp; channel research, information gathering, watch, studies.
A market and channel research consists in evaluating the market potentials and anticipates the competition strategy (analysis of the market shares and competition and evolution assumptions).

Analysis concern both external and internal elements knowledge:

External elements knowledge:
- on market, knowledge of the market shares by region with general trends, potentials in volume, in CA,
- on customer and consumer, expectations and motivations, new modes of consumption, calculation of the customer average revenues according to the offer range and flow (acquisition, churn, migration),
- on distribution, general trends, new distribution channel,
- on competition, anticipate the competition strategy (analysis of the market shares and competition and evolution assumptions, positioning, target, social network verbatim analysis),
- on environment: politic, economic (cartography of the geo-merchandising zones), technologic, ecological, legislative.

Internal elements knowledge:
- on Company Performances, turnover evolution, profitability, financial means,
- on customer, enterprise image &amp; fame, qualification of the customers (loyalty, satisfaction, contact mode, frequency, income, purchasing power, equipment, verbatim on social networks), purchase behavior,
- market shares by region, penetration rates of the offers by region, number of eligible lines by region, etc.
It also take into account assessment of the Strategy performance results in order to improve the Market Strategy.

It includes geomarketing functions which start from the sociological assumption according to which the habitat choice is a consumption reasoned act, largely conditioned by financial and social constraints, leading to specific tendencies of consumption. The geomarketing detects the potential values of new life zones (Mass Market: life zones, Business Market: new attractive industrial / commercial areas)."
1.3.1;9;Marketing Campaign Development;1;Marketing Campaign Development Aggregated Function groups operational functions useful to define campaigns. There are different campaigns types, direct marketing campaigns, but also information campaigns (by examples information about the migrations, newsletters, etc.).
1.3.1.1;10;Marketing Campaign Design;2;"The Marketing Campaign Design Aggregate Function concerns the phase of the preparation of a defined campaign in a multichannel environment to deliver one-to-one or right-time campaigns. It establishes the targeted customers list and/or criteria, the proposition, visuals, waves, planning and metrics to evaluate the campaign. It extracts the target list to prepare the execution on channels and provides the campaign brief.

- the targeted customers list definition is based both on the criteria held in the Campaign Definition function and on the analysis of the existing data (e.g. analytics) or of predictive modeling for a specific campaign. The targeting takes into account the management of the commercial pressure from the event history of the proactive and reactive campaigns and the events of contacts concerning the targeted customers. 
- new type of campaigns uses the geofencing infrastructure to push messages, promotions such as coupons, advertising, to customers when they enter or leave a designated area and are localized by beacons. These campaigns need to define content push rules and personal context, and to check customer opt-in.
- the proposition that will be addressed to each customer sub-segment is described in terms of generosity, requested effort and validity period, and event triggers.
- the visuals supporting the message (mailing &amp; e-mailing channels) are created 
- the campaign is split in waves, each of them is associated with a sales channel and a communication mode.
- the campaigns business case, metrics and KPIS are defined as well. 
- the campaign message definition
- and eventually policy rules definition according to event-based marketing capabilities to trigger automated campaigns.

The main outputs of this function are the campaign brief, mix and metrics."
